,Date,Number of Reviews,COVID-19 Mentions,Tone (Negativity - Positivity)
0,2019-01-01,1817,12,0.4133186571271326
1,2019-01-02,1839,11,0.4029363784665579
2,2019-01-03,2012,18,0.470675944333996
3,2019-01-04,1950,7,0.48307692307692307
4,2019-01-05,2320,13,0.43060344827586206
5,2019-01-06,2482,21,0.44802578565672846
6,2019-01-07,1835,11,0.5128065395095368
7,2019-01-08,1393,16,0.43072505384063176
8,2019-01-09,1475,7,0.44949152542372883
9,2019-01-10,1500,15,0.5433333333333333
10,2019-01-11,1668,16,0.459832134292566
11,2019-01-12,2145,19,0.43776223776223777
12,2019-01-13,2357,9,0.39541790411540095
13,2019-01-14,1685,12,0.4937685459940653
14,2019-01-15,1604,14,0.4694513715710723
15,2019-01-16,1437,14,0.4349338900487126
16,2019-01-17,1483,9,0.4241402562373567
17,2019-01-18,1526,10,0.4646133682830931
18,2019-01-19,2102,19,0.4362511893434824
19,2019-01-20,2367,17,0.44064216307562315
20,2019-01-21,2092,20,0.44598470363288717
21,2019-01-22,1545,9,0.5003236245954693
22,2019-01-23,1561,14,0.40614990390775146
23,2019-01-24,1569,11,0.44040790312300826
24,2019-01-25,1614,10,0.5266418835192069
25,2019-01-26,2113,18,0.3663038334122101
26,2019-01-27,2529,21,0.3997627520759193
27,2019-01-28,1821,14,0.41680395387149916
28,2019-01-29,1440,19,0.5118055555555555
29,2019-01-30,1551,10,0.49000644745325594
30,2019-01-31,1497,3,0.4816299265197061
31,2019-02-01,1528,7,0.41492146596858637
32,2019-02-02,2119,15,0.38839075035394055
33,2019-02-03,2447,30,0.4021250510829587
34,2019-02-04,1513,9,0.4540647719762062
35,2019-02-05,1295,17,0.43166023166023165
36,2019-02-06,1456,9,0.4883241758241758
37,2019-02-07,1373,5,0.44282592862345227
38,2019-02-08,1622,14,0.5024660912453761
39,2019-02-09,2223,22,0.3774179037336932
40,2019-02-10,2591,19,0.3712852180625241
41,2019-02-11,1781,7,0.47220662549129705
42,2019-02-12,1587,15,0.45179584120982985
43,2019-02-13,1478,11,0.44993234100135315
44,2019-02-14,1483,17,0.4126770060687795
45,2019-02-15,2058,8,0.3974732750242954
46,2019-02-16,2527,15,0.42382271468144045
47,2019-02-17,2917,12,0.3973260198834419
48,2019-02-18,2359,17,0.5044510385756676
49,2019-02-19,1774,23,0.43348365276211953
50,2019-02-20,1686,10,0.4709371293001186
51,2019-02-21,1660,11,0.3644578313253012
52,2019-02-22,1840,14,0.4358695652173913
53,2019-02-23,2295,9,0.42919389978213507
54,2019-02-24,2663,25,0.4280886218550507
55,2019-02-25,1880,14,0.49946808510638296
56,2019-02-26,1550,12,0.4258064516129032
57,2019-02-27,1484,9,0.4582210242587601
58,2019-02-28,1585,16,0.4832807570977918
59,2019-03-01,1599,11,0.45716072545340836
60,2019-03-02,2317,15,0.3741907639188606
61,2019-03-03,2620,18,0.40381679389312974
62,2019-03-04,1922,13,0.4713839750260146
63,2019-03-05,1527,6,0.4950884086444008
64,2019-03-06,1561,8,0.42408712363869316
65,2019-03-07,1613,15,0.42529448233106015
66,2019-03-08,1698,7,0.42343934040047115
67,2019-03-09,2308,11,0.4124783362218371
68,2019-03-10,2718,24,0.42457689477557026
69,2019-03-11,1989,20,0.4761186525892408
70,2019-03-12,1553,12,0.4861558274307791
71,2019-03-13,1514,16,0.4247027741083223
72,2019-03-14,1762,14,0.44551645856980704
73,2019-03-15,1705,11,0.41114369501466275
74,2019-03-16,2270,11,0.3387665198237885
75,2019-03-17,2535,21,0.34911242603550297
76,2019-03-18,1876,14,0.5090618336886994
77,2019-03-19,1669,18,0.4853205512282804
78,2019-03-20,1734,8,0.4388696655132641
79,2019-03-21,1720,13,0.41686046511627906
80,2019-03-22,1744,12,0.4661697247706422
81,2019-03-23,2391,20,0.4119615223755751
82,2019-03-24,2654,10,0.3677467972871138
83,2019-03-25,2006,21,0.45014955134596213
84,2019-03-26,1650,12,0.46545454545454545
85,2019-03-27,1675,9,0.448955223880597
86,2019-03-28,1704,6,0.43485915492957744
87,2019-03-29,1967,9,0.4255210981189629
88,2019-03-30,2439,13,0.3886838868388684
89,2019-03-31,2635,25,0.374573055028463
90,2019-04-01,1887,8,0.4175940646528882
91,2019-04-02,1588,11,0.4634760705289673
92,2019-04-03,1666,9,0.5330132052821128
93,2019-04-04,1607,12,0.43808338518979467
94,2019-04-05,1718,16,0.47846332945285214
95,2019-04-06,2256,10,0.4100177304964539
96,2019-04-07,2589,13,0.42023947470065665
97,2019-04-08,1879,11,0.5018626929217669
98,2019-04-09,1504,15,0.4953457446808511
99,2019-04-10,1500,12,0.512
100,2019-04-11,1529,12,0.3924133420536298
101,2019-04-12,1651,17,0.3991520290732889
102,2019-04-13,2242,15,0.39785905441570024
103,2019-04-14,2547,8,0.4004711425206125
104,2019-04-15,1692,9,0.4923167848699764
105,2019-04-16,1526,10,0.4534731323722149
106,2019-04-17,1635,10,0.3889908256880734
107,2019-04-18,1681,9,0.40630577037477694
108,2019-04-19,1903,5,0.34576983709931686
109,2019-04-20,2202,12,0.3860127157129882
110,2019-04-21,2195,15,0.4396355353075171
111,2019-04-22,1794,15,0.5395763656633222
112,2019-04-23,1569,13,0.3760356915232632
113,2019-04-24,1567,15,0.4097000638162093
114,2019-04-25,1593,9,0.44695543000627747
115,2019-04-26,1667,17,0.3779244151169766
116,2019-04-27,2121,14,0.3950966525223951
117,2019-04-28,2412,15,0.3855721393034826
118,2019-04-29,1775,15,0.4467605633802817
119,2019-04-30,1577,11,0.3906150919467343
120,2019-05-01,1643,15,0.4765672550213025
121,2019-05-02,1625,20,0.44184615384615383
122,2019-05-03,1680,10,0.4642857142857143
123,2019-05-04,2170,17,0.44055299539170506
124,2019-05-05,2509,13,0.44998007174172977
125,2019-05-06,1701,9,0.48559670781893005
126,2019-05-07,1594,11,0.3983688833124216
127,2019-05-08,1683,11,0.45395127748068925
128,2019-05-09,1731,11,0.4020797227036395
129,2019-05-10,1713,8,0.4238178633975482
130,2019-05-11,2063,10,0.3431895298109549
131,2019-05-12,2503,23,0.37914502596883737
132,2019-05-13,1966,24,0.4735503560528993
133,2019-05-14,1623,14,0.4818237831176833
134,2019-05-15,1689,9,0.4724689165186501
