,date,state,cases,deaths,statePopulation,count_fully_vaccinated,count_daily_vaccinations,cases_normalized,deaths_normalized,count_fully_vaccinated_normalized,count_daily_vaccinations_normalized,party_simplified,case_diff_normalized,case_diff,deaths_diff_normalized,deaths_diff
8,2020-01-26,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
12,2020-01-27,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
16,2020-01-28,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
20,2020-01-29,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
24,2020-01-30,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
28,2020-01-31,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
32,2020-02-01,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
37,2020-02-02,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
42,2020-02-03,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
47,2020-02-04,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
52,2020-02-05,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
58,2020-02-06,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
64,2020-02-07,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
70,2020-02-08,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
76,2020-02-09,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
82,2020-02-10,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
88,2020-02-11,Arizona,1,0.0,4485414.0,0.0,0.0,2.2294486083112952e-07,0.0,0.0,0.0,DEMOCRAT,0.0,0.0,0.0,0.0
