,state,party_simplified
0,ALABAMA,REPUBLICAN
1,ALASKA,REPUBLICAN
2,ARIZONA,DEMOCRAT
3,ARKANSAS,REPUBLICAN
4,CALIFORNIA,DEMOCRAT
5,COLORADO,DEMOCRAT
6,CONNECTICUT,DEMOCRAT
7,DELAWARE,DEMOCRAT
8,DISTRICT OF COLUMBIA,DEMOCRAT
9,FLORIDA,REPUBLICAN
10,GEORGIA,DEMOCRAT
11,HAWAII,DEMOCRAT
12,IDAHO,REPUBLICAN
13,ILLINOIS,DEMOCRAT
14,INDIANA,REPUBLICAN
15,IOWA,REPUBLICAN
16,KANSAS,REPUBLICAN
17,KENTUCKY,REPUBLICAN
18,LOUISIANA,REPUBLICAN
19,MAINE,DEMOCRAT
20,MARYLAND,DEMOCRAT
21,MASSACHUSETTS,DEMOCRAT
22,MICHIGAN,DEMOCRAT
23,MINNESOTA,DEMOCRAT
24,MISSISSIPPI,REPUBLICAN
25,MISSOURI,REPUBLICAN
26,MONTANA,REPUBLICAN
27,NEBRASKA,REPUBLICAN
28,NEVADA,DEMOCRAT
29,NEW HAMPSHIRE,DEMOCRAT
30,NEW JERSEY,DEMOCRAT
31,NEW MEXICO,DEMOCRAT
32,NEW YORK,DEMOCRAT
33,NORTH CAROLINA,REPUBLICAN
34,NORTH DAKOTA,REPUBLICAN
35,OHIO,REPUBLICAN
36,OKLAHOMA,REPUBLICAN
37,OREGON,DEMOCRAT
38,PENNSYLVANIA,DEMOCRAT
39,RHODE ISLAND,DEMOCRAT
40,SOUTH CAROLINA,REPUBLICAN
41,SOUTH DAKOTA,REPUBLICAN
42,TENNESSEE,REPUBLICAN
43,TEXAS,REPUBLICAN
44,UTAH,REPUBLICAN
45,VERMONT,DEMOCRAT
46,VIRGINIA,DEMOCRAT
47,WASHINGTON,DEMOCRAT
48,WEST VIRGINIA,REPUBLICAN
49,WISCONSIN,DEMOCRAT
50,WYOMING,REPUBLICAN
